Tiempo,Demanda,Solar_Gen,Eolica_Gen,Hora,Dia_Semana,Temperatura,Radiacion_Solar,Velocidad_Viento
2021-01-02 07:00:00,1732.33,213.28,94.9,7,5,26.77,266.6,6.9
2021-01-02 08:00:00,2264.31,436.63,500.0,8,5,25.58,545.79,12.49
2021-01-02 09:00:00,2349.81,635.46,151.53,9,5,27.06,794.32,8.06
2021-01-02 10:00:00,2204.49,719.08,278.64,10,5,27.32,898.85,9.88
2021-01-02 11:00:00,2050.44,729.99,126.02,11,5,28.71,912.48,7.58
2021-01-02 12:00:00,1891.71,781.08,138.44,12,5,28.57,976.35,7.82
2021-01-02 13:00:00,1798.89,768.51,63.62,13,5,29.79,960.64,6.04
2021-01-02 14:00:00,1664.23,657.76,35.53,14,5,30.45,822.2,4.97
2021-01-02 15:00:00,1443.59,621.52,26.72,15,5,31.01,776.9,4.52
2021-01-02 16:00:00,1596.9,397.35,62.77,16,5,30.58,496.69,6.01
2021-01-02 17:00:00,1862.42,210.04,61.71,17,5,32.99,262.55,5.97
2021-01-02 18:00:00,2269.83,32.77,10.05,18,5,29.7,40.97,3.26
2021-01-02 19:00:00,2455.89,0.0,63.56,19,5,30.56,0.0,6.03
2021-01-02 20:00:00,2848.11,0.0,143.35,20,5,29.18,0.0,7.91
2021-01-02 21:00:00,2858.99,0.0,48.86,21,5,27.19,0.0,5.53
2021-01-02 22:00:00,2677.53,0.0,74.31,22,5,29.35,0.0,6.36
2021-01-02 23:00:00,2113.49,0.0,155.08,23,5,27.86,0.0,8.12
2021-01-03 00:00:00,1568.82,0.0,210.38,0,6,24.91,0.0,8.99
2021-01-03 01:00:00,1149.98,0.0,223.75,1,6,25.69,0.0,9.18
2021-01-03 02:00:00,1009.41,0.0,321.1,2,6,25.89,0.0,10.35
2021-01-03 03:00:00,888.65,0.0,325.92,3,6,24.05,0.0,10.4
2021-01-03 04:00:00,734.47,0.0,220.27,4,6,26.37,0.0,9.13
2021-01-03 05:00:00,952.53,0.0,295.47,5,6,24.59,0.0,10.07
2021-01-03 06:00:00,1332.94,11.64,325.03,6,6,24.55,14.55,10.4
2021-01-03 07:00:00,1785.34,201.37,474.91,7,6,26.0,251.71,11.8
2021-01-03 08:00:00,2245.65,429.13,336.54,8,6,26.23,536.41,10.52
2021-01-03 09:00:00,2396.48,532.97,128.05,9,6,26.2,666.21,7.62
2021-01-03 10:00:00,2170.16,713.31,122.68,10,6,29.99,891.64,7.51
2021-01-03 11:00:00,2095.28,758.9,203.95,11,6,28.98,948.62,8.9
2021-01-03 12:00:00,1854.46,852.96,128.6,12,6,29.52,1066.2,7.63
2021-01-03 13:00:00,1716.15,760.81,115.7,13,6,31.06,951.01,7.37
2021-01-03 14:00:00,1595.85,731.97,77.06,14,6,32.04,914.97,6.43
2021-01-03 15:00:00,1456.76,541.72,0.0,15,6,31.25,677.15,2.91
2021-01-03 16:00:00,1643.41,409.15,32.97,16,6,33.13,511.43,4.85
2021-01-03 17:00:00,1966.44,162.01,28.72,17,6,30.93,202.51,4.63
2021-01-03 18:00:00,2167.95,0.0,31.4,18,6,29.81,0.0,4.77
2021-01-03 19:00:00,2497.72,0.0,150.94,19,6,31.6,0.0,8.05
2021-01-03 20:00:00,2846.24,0.0,238.63,20,6,29.24,0.0,9.38
2021-01-03 21:00:00,2939.61,0.0,135.4,21,6,26.57,0.0,7.76
2021-01-03 22:00:00,2580.47,0.0,218.65,22,6,28.49,0.0,9.11
2021-01-03 23:00:00,2030.45,0.0,198.46,23,6,28.59,0.0,8.82
2021-01-04 00:00:00,1592.42,0.0,289.05,0,0,27.02,0.0,10.0
2021-01-04 01:00:00,1165.73,0.0,327.93,1,0,26.23,0.0,10.43
2021-01-04 02:00:00,1008.56,0.0,284.79,2,0,25.62,0.0,9.95
2021-01-04 03:00:00,900.41,0.0,500.0,3,0,26.34,0.0,12.28
2021-01-04 04:00:00,727.9,0.0,500.0,4,0,24.67,0.0,12.52
2021-01-04 05:00:00,946.3,0.0,401.81,5,0,24.52,0.0,11.16
2021-01-04 06:00:00,1321.74,47.87,385.24,6,0,24.94,59.84,11.0
2021-01-04 07:00:00,1752.55,159.79,142.06,7,0,26.96,199.74,7.89
2021-01-04 08:00:00,2149.6,383.95,440.97,8,0,27.88,479.93,11.51
2021-01-04 09:00:00,2339.5,580.1,74.52,9,0,27.46,725.12,6.36
2021-01-04 10:00:00,2186.39,690.18,69.29,10,0,29.78,862.72,6.21
2021-01-04 11:00:00,2093.07,794.89,120.68,11,0,29.19,993.61,7.47
2021-01-04 12:00:00,1862.33,774.95,148.22,12,0,30.13,968.68,8.0
2021-01-04 13:00:00,1775.54,739.73,95.02,13,0,29.78,924.66,6.9
2021-01-04 14:00:00,1622.64,703.33,35.4,14,0,29.83,879.16,4.96
2021-01-04 15:00:00,1449.34,581.93,105.95,15,0,31.22,727.41,7.15
2021-01-04 16:00:00,1575.09,391.75,39.77,16,0,31.44,489.68,5.16
2021-01-04 17:00:00,1913.75,181.38,0.0,17,0,30.39,226.73,2.84
2021-01-04 18:00:00,2154.56,25.22,23.97,18,0,29.52,31.53,4.36
2021-01-04 19:00:00,2550.96,0.0,117.22,19,0,30.93,0.0,7.4
2021-01-04 20:00:00,2863.55,0.0,71.72,20,0,29.74,0.0,6.28
2021-01-04 21:00:00,2854.67,0.0,25.95,21,0,28.57,0.0,4.48
2021-01-04 22:00:00,2714.99,0.0,238.45,22,0,28.24,0.0,9.38
2021-01-04 23:00:00,1999.13,0.0,149.78,23,0,27.34,0.0,8.03
2021-01-05 00:00:00,1621.24,0.0,317.56,0,1,29.04,0.0,10.31
2021-01-05 01:00:00,1190.34,0.0,192.47,1,1,27.43,0.0,8.73
2021-01-05 02:00:00,1040.92,0.0,219.33,2,1,24.28,0.0,9.12
2021-01-05 03:00:00,888.54,0.0,474.72,3,1,26.45,0.0,11.79
2021-01-05 04:00:00,713.8,0.0,500.0,4,1,24.49,0.0,13.6
2021-01-05 05:00:00,967.91,0.0,500.0,5,1,24.0,0.0,12.13
2021-01-05 06:00:00,1315.86,0.0,207.45,6,1,24.0,0.0,8.95
2021-01-05 07:00:00,1762.69,242.56,121.34,7,1,24.67,303.2,7.49
2021-01-05 08:00:00,2204.31,333.26,296.86,8,1,26.41,416.58,10.09
2021-01-05 09:00:00,2372.82,528.7,196.61,9,1,27.15,660.87,8.79
2021-01-05 10:00:00,2194.76,699.6,94.9,10,1,27.41,874.5,6.9
2021-01-05 11:00:00,2015.24,749.06,104.51,11,1,27.7,936.32,7.12
2021-01-05 12:00:00,1909.14,781.72,51.9,12,1,28.91,977.15,5.64
2021-01-05 13:00:00,1783.33,787.27,103.85,13,1,29.86,984.09,7.11
2021-01-05 14:00:00,1633.64,702.31,39.58,14,1,30.47,877.89,5.15
2021-01-05 15:00:00,1490.91,517.99,46.06,15,1,30.12,647.49,5.42
2021-01-05 16:00:00,1650.72,390.24,52.62,16,1,30.81,487.8,5.67
2021-01-05 17:00:00,1942.36,187.77,0.0,17,1,31.47,234.71,2.4
2021-01-05 18:00:00,2169.58,11.33,41.68,18,1,29.52,14.17,5.24
2021-01-05 19:00:00,2500.09,0.0,11.83,19,1,29.64,0.0,3.44
2021-01-05 20:00:00,2811.07,0.0,129.99,20,1,28.28,0.0,7.66
2021-01-05 21:00:00,2874.28,0.0,21.23,21,1,29.58,0.0,4.19
2021-01-05 22:00:00,2570.13,0.0,104.15,22,1,27.87,0.0,7.11
2021-01-05 23:00:00,2041.38,0.0,223.02,23,1,27.74,0.0,9.17
2021-01-06 00:00:00,1620.0,0.0,327.81,0,2,25.89,0.0,10.42
2021-01-06 01:00:00,1195.18,0.0,388.24,1,2,26.78,0.0,11.03
2021-01-06 02:00:00,1017.62,0.0,500.0,2,2,25.78,0.0,13.36
2021-01-06 03:00:00,885.22,0.0,474.81,3,2,25.04,0.0,11.8
2021-01-06 04:00:00,748.96,0.0,217.68,4,2,24.69,0.0,9.09
2021-01-06 05:00:00,940.94,0.0,296.81,5,2,24.14,0.0,10.09
2021-01-06 06:00:00,1293.44,0.0,75.27,6,2,25.58,0.0,6.38
2021-01-06 07:00:00,1765.92,250.43,252.09,7,2,26.96,313.03,9.55
2021-01-06 08:00:00,2212.57,412.07,320.56,8,2,27.84,515.09,10.35
2021-01-06 09:00:00,2340.36,548.78,73.08,9,2,27.63,685.97,6.32
2021-01-06 10:00:00,2150.13,655.81,99.73,10,2,28.89,819.76,7.01
2021-01-06 11:00:00,2072.59,746.58,32.07,11,2,28.61,933.23,4.8
2021-01-06 12:00:00,1918.77,754.82,0.0,12,2,28.74,943.52,1.61
2021-01-06 13:00:00,1739.32,792.65,97.07,13,2,30.3,990.82,6.95
2021-01-06 14:00:00,1597.62,763.6,59.38,14,2,32.03,954.5,5.9
2021-01-06 15:00:00,1442.46,582.14,32.86,15,2,30.49,727.68,4.84
2021-01-06 16:00:00,1643.23,398.83,8.59,16,2,31.38,498.54,3.1
2021-01-06 17:00:00,1883.52,214.31,0.0,17,2,30.64,267.89,1.83
2021-01-06 18:00:00,2243.12,0.0,0.0,18,2,30.0,0.0,2.02
2021-01-06 19:00:00,2424.47,0.0,51.4,19,2,31.64,0.0,5.62
2021-01-06 20:00:00,2803.29,0.0,96.65,20,2,29.64,0.0,6.94
2021-01-06 21:00:00,2861.01,0.0,119.78,21,2,28.48,0.0,7.45
2021-01-06 22:00:00,2619.17,0.0,173.04,22,2,29.26,0.0,8.43
2021-01-06 23:00:00,2109.47,0.0,184.94,23,2,26.79,0.0,8.61
2021-01-07 00:00:00,1572.85,0.0,216.83,0,3,26.31,0.0,9.08
2021-01-07 01:00:00,1162.16,0.0,120.48,1,3,25.23,0.0,7.47
2021-01-07 02:00:00,1058.08,0.0,328.54,2,3,24.8,0.0,10.43
2021-01-07 03:00:00,902.6,0.0,331.48,3,3,24.64,0.0,10.46
2021-01-07 04:00:00,743.18,0.0,125.39,4,3,24.28,0.0,7.57
2021-01-07 05:00:00,959.44,0.0,247.12,5,3,25.29,0.0,9.49
2021-01-07 06:00:00,1297.48,26.5,500.0,6,3,25.18,33.12,12.83
2021-01-07 07:00:00,1773.33,224.98,500.0,7,3,25.55,281.23,13.77
2021-01-07 08:00:00,2169.02,365.88,88.66,8,3,25.33,457.35,6.74
2021-01-07 09:00:00,2391.33,498.47,168.13,9,3,28.17,623.09,8.34
2021-01-07 10:00:00,2198.69,640.77,177.26,10,3,28.65,800.96,8.49
2021-01-07 11:00:00,2000.11,853.7,117.58,11,3,29.39,1067.12,7.41
2021-01-07 12:00:00,1918.57,822.85,91.17,12,3,30.43,1028.57,6.8
2021-01-07 13:00:00,1794.1,750.06,145.92,13,3,30.54,937.57,7.96
2021-01-07 14:00:00,1595.44,672.38,63.1,14,3,30.87,840.48,6.02
2021-01-07 15:00:00,1450.19,594.58,106.31,15,3,29.39,743.22,7.16
2021-01-07 16:00:00,1644.89,371.93,59.73,16,3,30.89,464.91,5.91
2021-01-07 17:00:00,1859.04,239.08,18.55,17,3,31.92,298.85,4.0
2021-01-07 18:00:00,2263.47,23.07,35.86,18,3,30.2,28.84,4.99
2021-01-07 19:00:00,2455.96,0.0,0.0,19,3,30.98,0.0,2.96
2021-01-07 20:00:00,2843.34,0.0,176.56,20,3,29.28,0.0,8.48
2021-01-07 21:00:00,2857.96,0.0,107.35,21,3,29.13,0.0,7.19
2021-01-07 22:00:00,2605.73,0.0,100.69,22,3,29.48,0.0,7.03
2021-01-07 23:00:00,2093.83,0.0,136.02,23,3,26.26,0.0,7.78
2021-01-08 00:00:00,1583.09,0.0,352.26,0,4,27.26,0.0,10.68
2021-01-08 01:00:00,1168.73,0.0,284.57,1,4,25.25,0.0,9.94
2021-01-08 02:00:00,1059.61,0.0,371.15,2,4,24.57,0.0,10.87
2021-01-08 03:00:00,864.72,0.0,230.27,3,4,24.75,0.0,9.27
2021-01-08 04:00:00,714.91,0.0,392.01,4,4,24.16,0.0,11.07
2021-01-08 05:00:00,931.35,0.0,229.55,5,4,25.59,0.0,9.26
2021-01-08 06:00:00,1343.07,9.77,245.25,6,4,26.77,12.22,9.46
2021-01-08 07:00:00,1816.09,206.33,277.66,7,4,26.69,257.91,9.86
2021-01-08 08:00:00,2146.85,396.34,369.02,8,4,27.72,495.42,10.84
2021-01-08 09:00:00,2350.87,530.61,139.25,9,4,26.14,663.27,7.84
2021-01-08 10:00:00,2254.84,707.87,184.7,10,4,28.42,884.83,8.61
2021-01-08 11:00:00,2097.09,718.87,68.75,11,4,28.43,898.58,6.19
2021-01-08 12:00:00,1907.62,855.39,24.85,12,4,30.0,1069.24,4.41
2021-01-08 13:00:00,1736.26,744.18,44.15,13,4,28.99,930.22,5.34
2021-01-08 14:00:00,1583.22,661.42,111.83,14,4,30.84,826.78,7.28
2021-01-08 15:00:00,1463.36,531.94,10.93,15,4,31.07,664.93,3.35
2021-01-08 16:00:00,1624.78,338.65,44.68,16,4,32.16,423.32,5.36
2021-01-08 17:00:00,1856.87,156.34,0.0,17,4,30.87,195.42,2.06
2021-01-08 18:00:00,2228.89,21.09,87.26,18,4,31.24,26.36,6.71
2021-01-08 19:00:00,2464.46,0.0,113.16,19,4,28.64,0.0,7.31
2021-01-08 20:00:00,2732.81,0.0,71.16,20,4,29.06,0.0,6.27
2021-01-08 21:00:00,2890.16,0.0,140.57,21,4,29.36,0.0,7.86
2021-01-08 22:00:00,2658.39,0.0,172.62,22,4,26.41,0.0,8.42
2021-01-08 23:00:00,2073.3,0.0,140.26,23,4,27.9,0.0,7.86
2021-01-09 00:00:00,1592.34,0.0,313.59,0,5,26.42,0.0,10.27
2021-01-09 01:00:00,1157.24,0.0,299.27,1,5,24.23,0.0,10.11
2021-01-09 02:00:00,1012.51,0.0,303.9,2,5,25.82,0.0,10.16
2021-01-09 03:00:00,865.37,0.0,189.34,3,5,26.27,0.0,8.68
2021-01-09 04:00:00,743.91,0.0,500.0,4,5,27.45,0.0,15.51
2021-01-09 05:00:00,937.82,0.0,500.0,5,5,24.0,0.0,13.37
2021-01-09 06:00:00,1288.84,0.0,500.0,6,5,24.0,0.0,13.04
2021-01-09 07:00:00,1780.82,181.24,276.17,7,5,26.47,226.55,9.85
2021-01-09 08:00:00,2249.67,419.47,279.01,8,5,27.36,524.33,9.88
2021-01-09 09:00:00,2306.61,567.32,144.28,9,5,28.36,709.16,7.93
2021-01-09 10:00:00,2219.13,654.27,139.46,10,5,26.45,817.84,7.84
2021-01-09 11:00:00,2030.36,735.43,93.1,11,5,30.6,919.28,6.85
2021-01-09 12:00:00,1892.1,794.32,115.0,12,5,30.82,992.9,7.35
2021-01-09 13:00:00,1770.29,766.24,0.0,13,5,29.03,957.8,1.7
2021-01-09 14:00:00,1639.56,678.76,95.12,14,5,31.29,848.46,6.9
2021-01-09 15:00:00,1450.47,584.6,51.67,15,5,32.83,730.76,5.63
2021-01-09 16:00:00,1574.09,352.66,51.82,16,5,33.0,440.83,5.64
2021-01-09 17:00:00,1871.27,188.49,32.42,17,5,30.05,235.61,4.82
2021-01-09 18:00:00,2177.56,0.0,34.07,18,5,30.79,0.0,4.9
2021-01-09 19:00:00,2492.39,0.0,106.28,19,5,31.79,0.0,7.16
2021-01-09 20:00:00,2832.86,0.0,78.58,20,5,29.13,0.0,6.48
2021-01-09 21:00:00,2945.54,0.0,111.24,21,5,29.0,0.0,7.27
2021-01-09 22:00:00,2669.26,0.0,133.28,22,5,25.55,0.0,7.72
2021-01-09 23:00:00,2001.05,0.0,153.04,23,5,25.74,0.0,8.09
2021-01-10 00:00:00,1595.11,0.0,327.89,0,6,25.44,0.0,10.43
2021-01-10 01:00:00,1143.06,0.0,321.34,1,6,24.56,0.0,10.36
2021-01-10 02:00:00,1027.34,0.0,480.77,2,6,24.0,0.0,11.84
2021-01-10 03:00:00,892.97,0.0,267.49,3,6,24.04,0.0,9.74
2021-01-10 04:00:00,719.02,0.0,500.0,4,6,24.56,0.0,12.32
2021-01-10 05:00:00,957.55,0.0,378.6,5,6,26.07,0.0,10.94
2021-01-10 06:00:00,1291.31,0.0,203.26,6,6,25.52,0.0,8.89
2021-01-10 07:00:00,1784.91,186.7,274.0,7,6,25.13,233.37,9.82
2021-01-10 08:00:00,2254.37,417.85,201.29,8,6,26.7,522.31,8.86
2021-01-10 09:00:00,2321.41,526.56,231.89,9,6,26.39,658.19,9.29
2021-01-10 10:00:00,2243.53,738.8,109.35,10,6,27.51,923.5,7.23
2021-01-10 11:00:00,2074.04,780.46,152.05,11,6,28.43,975.57,8.07
2021-01-10 12:00:00,1922.47,816.07,210.04,12,6,29.46,1020.09,8.99
2021-01-10 13:00:00,1800.05,756.04,86.33,13,6,30.56,945.06,6.68
2021-01-10 14:00:00,1633.56,712.8,55.42,14,6,30.6,891.0,5.76
2021-01-10 15:00:00,1435.2,485.84,14.31,15,6,32.15,607.3,3.67
2021-01-10 16:00:00,1637.09,374.01,33.15,16,6,32.12,467.51,4.86
2021-01-10 17:00:00,1962.32,177.93,144.73,17,6,33.19,222.41,7.94
2021-01-10 18:00:00,2172.85,21.38,24.08,18,6,29.78,26.73,4.37
2021-01-10 19:00:00,2446.98,0.0,23.83,19,6,30.44,0.0,4.35
2021-01-10 20:00:00,2765.36,0.0,31.44,20,6,30.89,0.0,4.77
2021-01-10 21:00:00,2989.37,0.0,261.5,21,6,29.13,0.0,9.67
2021-01-10 22:00:00,2609.87,0.0,254.93,22,6,28.47,0.0,9.59
2021-01-10 23:00:00,2068.45,0.0,247.22,23,6,27.21,0.0,9.49
2021-01-11 00:00:00,1642.18,0.0,97.09,0,0,25.27,0.0,6.95
2021-01-11 01:00:00,1145.24,0.0,483.42,1,0,24.0,0.0,11.87
2021-01-11 02:00:00,1039.58,0.0,216.53,2,0,24.94,0.0,9.08
2021-01-11 03:00:00,886.93,0.0,498.78,3,0,27.01,0.0,11.99
2021-01-11 04:00:00,748.53,0.0,312.82,4,0,24.21,0.0,10.26
2021-01-11 05:00:00,918.24,0.0,371.46,5,0,26.38,0.0,10.87
2021-01-11 06:00:00,1284.18,0.0,500.0,6,0,24.35,0.0,12.38
2021-01-11 07:00:00,1786.03,190.79,500.0,7,0,25.43,238.49,12.63
2021-01-11 08:00:00,2159.23,439.91,329.74,8,0,26.44,549.89,10.45
2021-01-11 09:00:00,2297.09,511.04,239.42,9,0,29.21,638.8,9.39
2021-01-11 10:00:00,2149.16,638.65,351.71,10,0,28.31,798.31,10.67
2021-01-11 11:00:00,2017.16,796.86,50.69,11,0,29.52,996.07,5.6
2021-01-11 12:00:00,1930.76,817.32,62.7,12,0,28.02,1021.64,6.01
2021-01-11 13:00:00,1763.36,752.82,73.38,13,0,29.32,941.03,6.33
2021-01-11 14:00:00,1611.32,721.51,31.63,14,0,30.42,901.88,4.78
2021-01-11 15:00:00,1433.3,612.19,27.29,15,0,31.12,765.24,4.55
2021-01-11 16:00:00,1598.55,403.17,26.09,16,0,31.42,503.97,4.48
2021-01-11 17:00:00,1960.83,203.86,31.47,17,0,31.71,254.83,4.77
2021-01-11 18:00:00,2200.41,2.09,33.23,18,0,30.27,2.61,4.86
2021-01-11 19:00:00,2567.94,0.0,61.56,19,0,30.83,0.0,5.97
2021-01-11 20:00:00,2827.07,0.0,208.33,20,0,29.72,0.0,8.96
2021-01-11 21:00:00,2993.77,0.0,148.53,21,0,27.74,0.0,8.01
2021-01-11 22:00:00,2632.98,0.0,106.43,22,0,29.77,0.0,7.16
2021-01-11 23:00:00,2070.57,0.0,150.94,23,0,27.99,0.0,8.05
2021-01-12 00:00:00,1612.36,0.0,478.86,0,1,28.07,0.0,11.83
2021-01-12 01:00:00,1150.04,0.0,485.84,1,1,25.71,0.0,11.89
2021-01-12 02:00:00,1056.33,0.0,500.0,2,1,24.86,0.0,12.47
2021-01-12 03:00:00,896.59,0.0,440.43,3,1,25.07,0.0,11.5
2021-01-12 04:00:00,739.63,0.0,399.63,4,1,24.44,0.0,11.14
2021-01-12 05:00:00,936.42,0.0,325.15,5,1,25.9,0.0,10.4
2021-01-12 06:00:00,1354.74,0.0,500.0,6,1,25.38,0.0,13.34
2021-01-12 07:00:00,1802.27,246.22,352.25,7,1,26.32,307.78,10.68
2021-01-12 08:00:00,2254.16,388.18,337.56,8,1,25.82,485.22,10.53
2021-01-12 09:00:00,2313.75,492.23,256.17,9,1,27.1,615.28,9.6
2021-01-12 10:00:00,2271.1,696.09,113.3,10,1,28.36,870.11,7.32
2021-01-12 11:00:00,2061.03,760.03,68.24,11,1,27.78,950.03,6.18
2021-01-12 12:00:00,1897.69,772.14,119.23,12,1,29.1,965.18,7.44
2021-01-12 13:00:00,1735.91,761.71,133.54,13,1,30.76,952.14,7.73
2021-01-12 14:00:00,1641.17,695.59,9.84,14,1,29.34,869.48,3.24
2021-01-12 15:00:00,1497.52,606.55,84.46,15,1,31.44,758.19,6.63
2021-01-12 16:00:00,1633.99,427.86,83.33,16,1,31.78,534.83,6.6
2021-01-12 17:00:00,1867.88,209.55,83.89,17,1,30.28,261.94,6.62
2021-01-12 18:00:00,2237.73,9.8,37.71,18,1,29.81,12.24,5.07
2021-01-12 19:00:00,2527.84,0.0,44.82,19,1,30.09,0.0,5.37
2021-01-12 20:00:00,2818.2,0.0,0.0,20,1,29.9,0.0,2.62
2021-01-12 21:00:00,2996.94,0.0,157.66,21,1,29.77,0.0,8.17
2021-01-12 22:00:00,2717.61,0.0,34.46,22,1,28.71,0.0,4.92
2021-01-12 23:00:00,2097.97,0.0,136.02,23,1,27.85,0.0,7.78
2021-01-13 00:00:00,1650.91,0.0,219.55,0,2,27.34,0.0,9.12
2021-01-13 01:00:00,1166.34,0.0,334.8,1,2,24.98,0.0,10.5
2021-01-13 02:00:00,1031.66,0.0,500.0,2,2,25.95,0.0,12.1
2021-01-13 03:00:00,906.47,0.0,341.28,3,2,25.43,0.0,10.57
2021-01-13 04:00:00,731.89,0.0,500.0,4,2,27.04,0.0,14.41
2021-01-13 05:00:00,947.3,0.0,221.49,5,2,25.0,0.0,9.15
2021-01-13 06:00:00,1340.26,16.95,500.0,6,2,26.07,21.19,12.22
2021-01-13 07:00:00,1724.58,233.1,125.22,7,2,24.0,291.37,7.56
2021-01-13 08:00:00,2205.27,382.42,192.26,8,2,26.4,478.03,8.73
2021-01-13 09:00:00,2405.04,590.62,360.65,9,2,25.72,738.27,10.76
2021-01-13 10:00:00,2242.64,637.52,263.09,10,2,28.91,796.9,9.69
2021-01-13 11:00:00,2063.4,808.98,50.3,11,2,30.76,1011.22,5.58
2021-01-13 12:00:00,1875.57,749.33,43.65,12,2,30.89,936.67,5.32
2021-01-13 13:00:00,1800.98,801.71,104.92,13,2,30.47,1002.13,7.13
2021-01-13 14:00:00,1572.97,637.14,22.13,14,2,31.82,796.43,4.24
2021-01-13 15:00:00,1460.08,524.67,39.12,15,2,31.67,655.84,5.13
2021-01-13 16:00:00,1633.6,410.21,9.4,16,2,31.77,512.76,3.19
2021-01-13 17:00:00,1900.07,238.93,91.06,17,2,29.9,298.66,6.8
2021-01-13 18:00:00,2214.73,0.0,35.92,18,2,30.85,0.0,4.99
2021-01-13 19:00:00,2446.3,0.0,132.89,19,2,32.05,0.0,7.72
2021-01-13 20:00:00,2758.64,0.0,70.12,20,2,28.99,0.0,6.23
2021-01-13 21:00:00,2965.51,0.0,57.64,21,2,28.31,0.0,5.84
2021-01-13 22:00:00,2724.17,0.0,303.1,22,2,27.67,0.0,10.16
2021-01-13 23:00:00,2094.38,0.0,130.85,23,2,28.52,0.0,7.68
2021-01-14 00:00:00,1572.59,0.0,455.4,0,3,25.89,0.0,11.63
2021-01-14 01:00:00,1154.93,0.0,255.82,1,3,24.02,0.0,9.6
2021-01-14 02:00:00,1039.41,0.0,219.42,2,3,24.49,0.0,9.12
2021-01-14 03:00:00,870.89,0.0,382.19,3,3,25.12,0.0,10.97
2021-01-14 04:00:00,739.12,0.0,500.0,4,3,24.68,0.0,12.78
2021-01-14 05:00:00,952.41,0.0,500.0,5,3,24.85,0.0,12.29
2021-01-14 06:00:00,1298.84,0.0,191.83,6,3,24.75,0.0,8.72
2021-01-14 07:00:00,1719.99,199.85,440.85,7,3,24.66,249.81,11.51
2021-01-14 08:00:00,2172.23,399.46,113.54,8,3,25.98,499.32,7.32
2021-01-14 09:00:00,2374.83,550.44,285.8,9,3,25.64,688.06,9.96
2021-01-14 10:00:00,2247.01,734.95,140.25,10,3,27.05,918.69,7.86
2021-01-14 11:00:00,2106.85,751.4,19.0,11,3,28.25,939.25,4.03
2021-01-14 12:00:00,1962.01,775.84,46.34,12,3,28.1,969.79,5.43
2021-01-14 13:00:00,1783.64,713.82,49.25,13,3,30.69,892.27,5.54
2021-01-14 14:00:00,1616.02,664.76,24.86,14,3,28.69,830.95,4.41
2021-01-14 15:00:00,1437.89,523.1,114.55,15,3,31.35,653.87,7.34
2021-01-14 16:00:00,1637.12,457.71,77.88,16,3,31.47,572.14,6.46
2021-01-14 17:00:00,1855.01,211.62,44.97,17,3,30.56,264.53,5.38
